Attained_Age,Predicted_Deaths,qx_Smooth,qx_Smooth_CI_Lo,qx_Smooth_CI_Hi,Median_Log_Exposure
61.0,4123.694716240628,0.007142050583204595,0.007066106529249009,0.007218810857423395,13.26626016360338
62.0,4279.567500965205,0.00741201511492987,0.007328330265694282,0.00749665559167373,13.26626016360338
63.0,4424.947434655632,0.007663806508727939,0.0075743723814971995,0.007754296626172874,13.26626016360338
64.0,4559.331767916697,0.007896554025647847,0.007806688592948106,0.007987453929736852,13.26626016360338
65.0,4682.517308996001,0.00810990574687077,0.008024089815049273,0.008196639461808378,13.26626016360338
66.0,4794.524555179911,0.008303897172758918,0.008223399706676413,0.008385182614894737,13.26626016360338
67.0,4895.561453594527,0.008478888458220793,0.008400995423210397,0.008557503708230423,13.26626016360338
68.0,4986.009633638745,0.008635540567915158,0.008555010681715203,0.00871682849671876,13.26626016360338
69.0,5066.408585121916,0.008774787873509328,0.008687520967699579,0.008862931382998988,13.26626016360338
70.0,5137.4385858175265,0.008897808584983234,0.008803648035941778,0.00899297624027878,13.26626016360338
71.0,5199.925230940204,0.00900603259547637,0.008909095543034873,0.009104024389343709,13.26626016360338
72.0,5257.502946142923,0.009105754563939172,0.009011873132419496,0.00920061400780486,13.26626016360338
73.0,5319.312028253984,0.00921280506629573,0.009125136207256959,0.009301316195375253,13.26626016360338
74.0,5395.557045842584,0.009344857948433314,0.009262404741760715,0.009428045147139314,13.26626016360338
75.0,5497.096421971962,0.009520719502308036,0.009438629412025591,0.009603523550372741,13.26626016360338
76.0,5635.831877735242,0.009761002964331288,0.009673299106966262,0.009849501996797556,13.26626016360338
77.0,5825.345332386617,0.010089231597257806,0.009992423946187082,0.010186977131004075,13.26626016360338
78.0,6081.849357548107,0.010533484833387046,0.010428309973913136,0.01063972043531041,13.26626016360338
79.0,6424.687917691335,0.011127265534167975,0.011018509801513672,0.011237094715918227,13.26626016360338
80.0,6857.389816394361,0.011876685425949642,0.011769664819539939,0.011984679162042466,13.26626016360338
81.0,7361.733035840489,0.012750184807558643,0.012646032224973111,0.012855195189671037,13.26626016360338
82.0,7911.893076632781,0.01370303682754973,0.013596695573587381,0.013810209788174412,13.26626016360338
83.0,8472.753441009569,0.014674421318433035,0.01455709703804458,0.01479269118479462,13.26626016360338
84.0,8998.647426153113,0.015585245640249556,0.015451660097940814,0.01571998608093173,13.26626016360338
85.0,9434.15716817911,0.016339528588203492,0.016193127556197895,0.016487253222589048,13.26626016360338
86.0,9717.77581921814,0.016830743115817136,0.01668309719968298,0.01697969570278646,13.26626016360338
87.0,9790.967370629396,0.016957507534236294,0.01681966685251762,0.0170964778491221,13.26626016360338
88.0,9623.659995477052,0.016667738815040082,0.01653268322026231,0.016803897679833847,13.26626016360338
89.0,9212.67595742047,0.0159559332642728,0.015809140577498843,0.016104088965866237,13.26626016360338
90.0,8575.126099154104,0.014851726078634086,0.014695575910164266,0.015009535445441024,13.26626016360338
91.0,7747.877877087932,0.013418970005883643,0.013270720152067615,0.013568875988297412,13.26626016360338
92.0,6784.078864164333,0.011749714210775137,0.01162019008844336,0.011880682070097282,13.26626016360338
93.0,5747.026719370567,0.009953587342710032,0.009817338898886469,0.010091726689825772,13.26626016360338
94.0,4702.383981945909,0.008144313915489417,0.007954506445308894,0.008338650500830514,13.26626016360338
