Sex_Clean,Attained_Age_Group,Policies_Exposed,Amount_Exposed,Death_Count,Death_Claim_Amount,Exp_Count,Exp_Amount,qx_Crude_Count,qx_Crude_Amount,AE_Count,AE_Amount,AE_Count_CI_Lo,AE_Count_CI_Hi,Credibility_Count,AE_Amount_CI_Lo,AE_Amount_CI_Hi,Credibility_Amount
M,20–24,1991889.290112614,125228798934.41707,2313,166920673,1746.85574154469,109771018.28962445,0.0011612091151256864,0.0013329256083292563,1.3240933094765377,1.5206260778194614,1.2701324490865011,1.3780541698665743,1.0,1.5203953948880453,1.5208567607508774,1.0
M,25–29,1936627.5303291322,108259039445.9677,2660,126305504,1665.929558263127,93247042.25444871,0.0013735217321566887,0.0011666970688673007,1.596706167320349,1.354525580075159,1.5360280251101928,1.6573843095305054,1.0,1.354289355996393,1.3547618041539249,1.0
M,30–34,1901390.806698783,90533185184.7465,3094,129953970,1840.6599348126595,86873387.08598591,0.0016272299145970097,0.0014354291162385316,1.6809188603949834,1.4959008087410428,1.621689821359904,1.7401478994300628,1.0,1.495643617536598,1.4961579999454877,1.0
M,35–39,1805988.699756425,68264774464.82372,3650,123257750,2556.134292075863,95520527.52788407,0.0020210536203755193,0.00180558349406858,1.427937495817482,1.2903797036089333,1.3816129834371986,1.4742620081977653,1.0,1.2901519011033202,1.2906075061145463,1.0
M,40–44,1698150.7679549463,47497719417.36453,4326,105903265,3344.5723481893465,92753401.83346769,0.002547476985927302,0.0022296494715761694,1.2934389062751086,1.1417723006013514,1.254895441343407,1.3319823712068102,1.0,1.1415548438383196,1.1419897573643831,1.0
M,45–49,1632213.5679269321,30101164968.232742,5929,94643576,3742.2121412733295,68536687.89281252,0.003632490328781177,0.0031441831603488462,1.5843569995961244,1.380918438136625,1.54402865339012,1.6246853458021289,1.0,1.3806402295379177,1.3811966467353325,1.0
M,50–54,1663188.5923762047,20055367150.253475,8778,91579805,4804.540755224942,57212176.9587301,0.005277813977462913,0.004566348963541291,1.827021654557497,1.60070477769201,1.7888013628333523,1.8652419462816419,1.0,1.6003769395535858,1.6010326158304342,1.0
M,55–59,1855296.6228265753,17470508297.53388,12653,107492109,7907.555035318442,73686382.76750396,0.006819933720745389,0.006152775132202278,1.6001153255951328,1.4587784738892695,1.5722346931028561,1.6279959580874095,1.0,1.4585027025392217,1.4590542452393174,1.0
M,60–64,1918391.0923563812,15510722114.463745,16717,127912443,13316.898486728398,107013236.1962253,0.008714072988874402,0.008246711020676572,1.2553223272415974,1.1952955311570317,1.236292967643138,1.2743516868400568,1.0,1.1950883897175117,1.1955026725965516,1.0
M,65–69,1588409.4427215462,11911073339.17996,18806,140021273,17983.722993461026,134350267.61119315,0.011839516622224436,0.011755554601399173,1.0457234025923308,1.0422105998718114,1.0307776873841474,1.060669117800514,1.0,1.0420379737292598,1.042383226014363,1.0
M,70–74,1170714.4179914251,8090288605.616913,20498,135802209,21863.78746194415,150291162.1660922,0.017508966905155292,0.016785829977155012,0.9375319823099533,0.9035941105433737,0.9246974975536691,0.9503664670662374,1.0,0.9034421369734172,0.9037460841133301,1.0
M,75–79,781699.8776491072,4936015005.285201,22705,136987523,25304.361578870885,158661767.60963595,0.02904567424045564,0.027752655300545406,0.8972761446373992,0.8633934000851279,0.8856049997774755,0.908947289497323,1.0,0.8632488173923124,0.8635379827779434,1.0
M,80–84,574488.203224008,3058512060.8299036,29681,155806550,32374.02505724237,170020494.34646672,0.05166511659148308,0.05094194395876376,0.9168152538190516,0.916398641227912,0.9063851013517795,0.9272454062863237,1.0,0.9162547482263212,0.9165425342295028,1.0
