Attained_Age,Deaths,Expected,Exposure,qx_Crude,AE_Ratio
34,955,609.3221534938186,719499.2498696081,0.001327312016201644,1.5673154086456307
35,993,659.979804676919,710819.7982503213,0.0013969785344249887,1.5045914935019942
36,1051,716.2057744289002,701746.7477478166,0.0014976913015601076,1.467455356441469
37,1125,768.8181303540467,688582.7378336443,0.0016337905936175102,1.4632849507359156
38,1059,814.0161388172877,673676.0627603901,0.0015719721369655672,1.3009570074847139
39,1124,857.4123123812088,657842.4587865584,0.0017086157711274908,1.3109212263099217
40,1171,904.8500707045708,646168.9071580875,0.0018122196642827797,1.2941370486805497
41,1247,952.6953365013193,640085.1397351266,0.0019481783322075257,1.3089179218400353
42,1327,988.0126404559034,632101.1778239522,0.0020993474566338897,1.3431002253044821
43,1303,1004.555086805511,622404.3639889555,0.0020934943187884227,1.2970916350078372
44,1413,1020.1612173930831,611460.283534863,0.0023108614542083116,1.3850751978307663
45,1542,1040.7922851558003,600704.0774660998,0.0025669877362985297,1.4815636337746028
46,1598,1074.1215387918912,592633.9808278556,0.002696436673725222,1.4877273588586042
47,1707,1106.386252407256,586433.2112855609,0.002910817407932895,1.5428608194343874
48,1771,1139.4833933322377,577485.9262971261,0.003066741403302686,1.554213084949832
49,1995,1172.4884634330144,565609.0233698604,0.0035271714516043693,1.7015092789558834
50,2126,1231.9086401090428,559534.5421232623,0.0037995866920610133,1.7257773269711107
51,2218,1318.424262399603,559572.6117466742,0.003963739385093632,1.6823112735828456
52,2397,1425.785993924949,563599.2417098184,0.004253022045821255,1.6811779679511805
53,2681,1551.261607154454,568890.9837863464,0.004712677958360614,1.7282707105204995
54,2885,1698.5612521008857,575224.2966596661,0.005015434877756776,1.6984962988126884
55,3058,1854.8421390048888,577279.0069392943,0.005297265210133606,1.6486578214362748
56,3226,2032.934841083108,580085.7494555528,0.005561246769167844,1.5868683711875635
57,3340,2237.3854319492057,582839.113299279,0.005730569420938915,1.4928138676089433
58,3527,2462.150382006108,583402.3164315887,0.006045570784794073,1.4324876440432022
59,3726,2719.011603343769,583537.5522886373,0.00638519318146126,1.3703509008265589
60,4020,2992.6628812855924,580426.0579639096,0.006925946802081653,1.3432852811918068
61,3995,3290.6594677497887,575071.8059313712,0.006946958551601748,1.214042364198764
62,4362,3601.371415383226,565540.8307590745,0.0077129709523276685,1.2112052595763256
63,4580,3935.989052598343,555232.5132528432,0.008248796478376164,1.163621122618853
64,4698,4272.879476978756,542424.6599898238,0.008661110650994622,1.0994927484642827
65,4678,4421.987295306035,506814.49057165324,0.00923020175434117,1.0578953958021824
66,4796,4631.716684146391,480733.3456348744,0.009976424651105122,1.0354692065721385
67,4711,4808.668866441134,453340.82782903756,0.01039173996871201,0.9796890014359799
68,4809,5016.284741323496,429474.4345592668,0.011197406907200586,0.9586776365352805
69,5132,5284.09408115423,410299.9371608773,0.012507922949029747,0.9712166212754094
70,5087,5518.6275676365985,387317.99794842815,0.013133910706306347,0.9217871540801499
