Age_Ind,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag,Segment_Type,Sex,Insurance_Plan,Insurance_Plan_Group,Face_Amount_Band,Face_Band_Group,Issue_Age_Band,Attained_Age_Band,Duration_Band
,104295,104962.68915180454,876087274,823964349.5323331,11293196.35450264,102104.43482557467,1.0214541628692964,0.9936387952976425,0.9727688538724836,1.063258713192204,9.235206466450677,9.294329599604945,9.041234352120801,0.021454162869296356,OK,Issue_Age_Band,,,,,,11-15,,
,368,430.6832911351673,114179363,129984790.89541845,1153316.3157700351,360.5493816448633,1.0206646266349044,0.8544561806195204,0.837156650991847,0.8784055597078663,0.3190798525678511,0.3734303289099078,0.3126196835290023,0.020664626634904426,OK,Face_Amount_Band,,,,"06: 250,000 - 499,999",,,,
,247883,240826.54503635658,2152387186,1975623036.4491544,37445029.21730838,243183.0495290421,1.0193268012719636,1.0293009849166674,1.0097850695500772,1.0894726100524466,6.619917387737542,6.431469011246979,6.494401382831197,0.019326801271963623,OK,Sex,M,,,,,,,
,270290,274988.20309809584,809766460,798300103.1671783,24635681.65133674,265218.8161261045,1.0191207545074188,0.9829148921838663,0.9644734324530048,1.014363466555159,10.971484524981024,11.16219177491989,10.765637414855686,0.01912075450741879,OK,Face_Amount_Band,,,,"01: 0 - 9,999",,,,
,324776,320677.4030463681,2364636743,2159947887.543472,43382381.745319314,319261.2963606485,1.0172733234570404,1.0127810594531954,0.9955840147379676,1.0947656453366208,7.486357063257397,7.3918809928172555,7.359238555294277,0.017273323457040357,OK,Duration_Band,,,,,,,,21-26+
,323782,319232.78186182684,1850710343,1688907806.6034389,51908872.52875318,318300.9877503061,1.017219589195851,1.0142504729985475,0.997081145281865,1.0958030602759556,6.237507852258818,6.149869305772314,6.131918730733247,0.017219589195851093,OK,Face_Band_Group,,,,,01-03: <50k,,,
,47763,44231.87091524432,343541851,300687336.28979903,18526991.289463494,47026.71880472461,1.0156566567685223,1.0798322343525084,1.06318629150541,1.1425218475742467,2.5780224783267074,2.3874287100463785,2.5382814764677537,0.015656656768522348,OK,Issue_Age_Band,,,,,,0,,
,321941,315792.25743844395,2322346625,2214100735.437118,54774073.971190386,317047.2825539002,1.0154352921957872,1.019470846471765,1.0039742111653922,1.0488893246049673,5.877616482742034,5.765360042500066,5.788272800753475,0.015435292195787209,OK,Insurance_Plan,,Perm,,,,,,
,321941,315792.25743844395,2322346625,2214100735.437118,54774073.971190386,317047.2825539002,1.0154352921957872,1.019470846471765,1.0039742111653922,1.0488893246049673,5.877616482742034,5.765360042500066,5.788272800753475,0.015435292195787209,OK,Insurance_Plan_Group,,,Perm,,,,,
ANB,247431,259448.79972325588,1793625575,1812804483.5372338,32573176.569818318,243838.5364727605,1.014732960504136,0.9536794938497507,0.9398329717957984,0.9894203105125761,7.596158129362944,7.965105864549181,7.485869115347399,0.014732960504135972,OK,Age_Ind,,,,,,,,
,29085,25065.98299763299,176864814,155361327.17315507,3964994.6828986374,28689.08169346598,1.013800312981931,1.1603374981442591,1.144542454057163,1.1384095206838611,7.335444893645407,6.321820078534967,7.235591466794257,0.013800312981931073,OK,Attained_Age_Band,,,,,,,"[60, 65)",
,40380,33231.52123000855,608437006,515648380.60165197,13758174.128473882,39935.70441901369,1.0111252721706039,1.215111391395958,1.2017416880377767,1.179945538256289,2.9349824782657503,2.4154019944574388,2.902689270109095,0.011125272170603884,OK,Face_Amount_Band,,,,"02: 10,000 - 24,999",,,,
,79955,77678.21884095913,655132732,614154853.7708149,6189121.517028062,79122.04555936457,1.0105274634237111,1.0293104192270734,1.0185872789045483,1.0667223876479806,12.918634701228711,12.550766474247421,12.784051071170111,0.010527463423711136,OK,Issue_Age_Band,,,,,,16-17,,
,31302,31548.80604708945,182408017,181883816.77530816,3029145.7446017507,31023.220165797884,1.0089861669005418,0.992177008324148,0.983340546057208,1.002882060834139,10.333606448545233,10.41508356054266,10.24157395565547,0.00898616690054177,OK,Attained_Age_Band,,,,,,,"[65, 70)",
,33623,39776.09655635513,109886325,124677340.39277455,249159.63036291464,33330.3759884821,1.0087794992657455,0.8453066768973329,0.8379498963971822,0.8813656487523875,134.94561679605263,159.64101607639674,133.77117288195757,0.008779499265745505,OK,Attained_Age_Band,,,,,,,"[90, 95)",
