Age_Ind,Sex,Issue_Age_Band,Series_Key,x_col,x_value,Overall_Direction,Credible_Points,ExpDth_VBT2015_Cnt,Predicted_Rate_per_1000,Actual_Rate_per_1000,Expected_Rate_per_1000,Delta_from_Prior,Monotonicity_Flag
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,3,Up,88,8.065922140738904,0.047474114565943845,0.0847173464156641,0.06212032001443206,,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,76,Up,93,54.862531039107125,26.008109626844,24.243868761845974,27.710000051141964,2.382711797494334,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,77,Up,93,51.53040299192071,28.544731596186185,23.947028050310305,30.850000147282984,2.5366219693421854,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,78,Up,93,46.613213506294414,31.284104009080785,20.579572023890865,34.2599994506353,2.7393724128945998,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,79,Up,93,40.97395923384465,34.30198646055239,26.909286331229183,38.020000039573716,3.017882451471607,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,80,Up,93,37.63028984493576,37.727113652061966,21.342647378815453,42.27000036437284,3.4251271915095742,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,81,Up,93,35.48561419779435,41.67797663947405,42.50962053197426,47.13999980913362,3.950862987412087,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,82,Up,93,31.07164890645072,46.142465194626986,37.25003461960451,52.60999988424936,4.464488555152933,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,83,Up,93,26.97091847541742,51.38506939540635,43.7285808098979,58.96999940347295,5.242604200779361,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,84,Up,93,24.144797049462795,57.63693696839524,27.529740598611717,66.46999995778363,6.251867572988893,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,85,Up,93,21.20856083976105,64.8764968991251,31.85223189747586,75.05999978664381,7.239559930729861,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,86,Up,93,13.929761088686064,73.30202540312956,42.679124186445705,84.93000048450739,8.425528504004461,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,87,Up,93,10.07141923205927,83.02152657938638,38.18726910061075,96.14999910992844,9.719501176256813,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,88,Up,93,9.067112101241946,94.07329102748524,47.94911498338627,108.6900001774258,11.051764448098865,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,89,Up,93,9.398431891575456,106.35733593462032,65.08532615488787,122.34000100153766,12.284044907135083,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,90,Up,93,10.71470745280385,119.67553333741101,12.763764603048035,136.76000371811276,13.318197402790688,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,91,Up,93,11.418420656584203,133.85726201080962,0.0,151.6299980747009,14.18172867339861,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,92,Up,93,12.02440545335412,148.63088875391355,13.84766988493228,166.50999728062735,14.773626743103932,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,93,Up,93,12.93827573210001,163.8742368455902,13.999547036164136,181.12999967839508,15.243348091676637,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,94,Up,93,11.78771037608385,179.34306537953924,16.550287788210372,195.08999908826124,15.46882853394905,OK
ALB,M,0,Age_Ind=ALB | Sex=M | Issue_Age_Band=0,Duration,95,Up,93,10.473178766667843,194.5614211506831,19.83733945790051,207.7600023976658,15.218355771143848,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,1,Up,92,10.613436755544397,0.038318944624151086,0.059431804151209265,0.04505540675905432,,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,2,Up,92,12.32613025855346,0.0514986372882332,0.07318313136226785,0.06013765399334284,0.013179692664082115,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,3,Up,92,10.625087456050037,0.060445353998364794,0.09690379123446341,0.06864075044593258,0.008946716710131593,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,4,Up,92,9.580397547387106,0.06705570690402557,0.08503525444277031,0.07406104937317774,0.0066103529056607754,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,5,Up,92,8.987837594523937,0.07297475926613887,0.09607036850660171,0.07849680634394575,0.005919052362113306,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,6,Up,92,8.420426648587975,0.07549115022445438,0.07509902570488909,0.07904572966605519,0.0025163909583155036,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,7,Up,92,8.379165933096855,0.07983307006474745,0.03888681165985819,0.08145976187675934,0.004341919840293071,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,8,Up,92,8.698348000249977,0.08794690183984176,0.09034356789736092,0.08731553257282859,0.00811383177509431,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,9,Up,92,9.681613576681853,0.10280604683635707,0.14356465489025372,0.09928125085122325,0.014859144996515306,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,10,Up,92,11.853043791086462,0.13179849347961334,0.156662781357021,0.12379538719054492,0.028992446643256273,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,11,Up,92,16.227868648967185,0.18328873100778298,0.17586232228242915,0.1678747450765644,0.05149023752816964,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,12,Up,92,23.602699143780907,0.263402474231979,0.18994021105424658,0.23595271877998059,0.08011374322419601,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,13,Up,92,34.089663606273,0.373848694230552,0.3657519302528113,0.32811474383324635,0.11044621999857301,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,14,Up,92,47.47584339237488,0.5139253032908865,0.3452220301596314,0.44296505512044254,0.14007660906033448,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,15,Up,92,61.77353244993013,0.6662802591892345,0.584981962470063,0.5646312850198163,0.15235495589834802,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,16,Up,92,74.47740061041917,0.814827870368661,0.8574667203972107,0.67938183452261,0.1485476111794265,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,17,Up,92,84.58500709496433,0.9425734250499628,0.9418124653916665,0.7734292627891258,0.12774555468130178,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,18,Up,92,88.86915771704501,1.032973692969441,0.9569065769302109,0.8337204069185156,0.0904002679194783,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,19,Up,92,89.16828425710354,1.0897173086315073,1.0959022596303862,0.864776320395791,0.056743615662066205,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,20,Up,92,89.1013105052018,1.1234168697933702,1.1118903287727864,0.8767334993957074,0.0336995611618629,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,21,Up,92,90.25770732001295,1.1460939470858533,1.2869815081215974,0.8800000021690001,0.02267707729248314,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,22,Up,92,90.03994678082061,1.1623974861795139,1.3271160856107573,0.8786283950026732,0.016303539093660557,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,23,Up,92,90.080883752541,1.1760905580191847,1.3124036708428901,0.8757220926637517,0.013693071839670834,OK
ALB,M,1-5,Age_Ind=ALB | Sex=M | Issue_Age_Band=1-5,Duration,24,Up,92,89.9019962966065,1.184740565737623,1.3058813548887591,0.869639560970494,0.00865000771843838,OK
